Circuit Name: ;c17v3.v
Input (5): ;G1gat, G2gat, G3gat, G4gat, G5gat
Output (2): ;G6gat, G7gat
Circuit Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4
Fault Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4


Input Signals;Fault Signal;Fault Type;Fault-Free Circuit Output;Faulty Circuit Output;Unmasked Faults
'11000;[w2];(1/0)w2 ;'00;'10;
'01110;[G5gat];(0/1)G5gat ;'11;'00;
'00101;[G3gat];(1/0)G3gat ;'01;'00;
'11011;[G7gat];(0/1)G7gat ;'10;'11;
'01100;[G4gat];(0/1)G4gat ;'01;'11;
'00001;[G5gat];(1/0)G5gat ;'00;'00;
'01000;[G5gat];(0/1)G5gat ;'00;'00;
'01101;[G1gat];(0/1)G1gat ;'00;'10;
'10101;[w4];(0/1)w4 ;'11;'10;
'10000;[w1];(1/0)w1 ;'00;'00;
'01001;[G6gat];(0/1)G6gat ;'00;'10;
'00001;[G1gat];(0/1)G1gat ;'00;'10;
'10100;[G5gat];(0/1)G5gat ;'01;'11;
'10110;[w4];(0/1)w4 ;'11;'11;
'10011;[G4gat];(1/0)G4gat ;'11;'10;
'00101;[G6gat];(0/1)G6gat ;'01;'11;
'00001;[w3];(1/0)w3 ;'00;'11;
'01111;[w4];(1/0)w4 ;'00;'01;
'01001;[w4];(1/0)w4 ;'00;'01;
'10011;[w4];(1/0)w4 ;'11;'11;
'10010;[G7gat];(1/0)G7gat ;'11;'10;
'00001;[w4];(1/0)w4 ;'00;'01;
'11000;[G5gat];(0/1)G5gat ;'00;'10;
'10101;[G6gat];(1/0)G6gat ;'11;'01;
'00011;[w4];(1/0)w4 ;'11;'11;
'00111;[G2gat];(0/1)G2gat ;'11;'00;
'10000;[G5gat];(0/1)G5gat ;'00;'10;
'01110;[G2gat];(1/0)G2gat ;'11;'11;
'01011;[G4gat];(1/0)G4gat ;'00;'00;
'01010;[G3gat];(0/1)G3gat ;'11;'11;
'01001;[w2];(1/0)w2 ;'00;'10;
'00111;[G5gat];(1/0)G5gat ;'11;'11;
'01001;[G5gat];(1/0)G5gat ;'00;'00;
'00101;[w3];(1/0)w3 ;'01;'11;
'00111;[G6gat];(1/0)G6gat ;'11;'01;
'01110;[G2gat];(1/0)G2gat ;'11;'11;
'01100;[G6gat];(0/1)G6gat ;'01;'11;
'01110;[w4];(0/1)w4 ;'11;'11;
'01011;[w3];(1/0)w3 ;'00;'11;
'01010;[w4];(1/0)w4 ;'11;'11;
'11000;[G1gat];(1/0)G1gat ;'00;'00;
'11111;[w1];(0/1)w1 ;'10;'11;
'01101;[G5gat];(1/0)G5gat ;'00;'01;
'00000;[G7gat];(0/1)G7gat ;'00;'01;
'00010;[G6gat];(1/0)G6gat ;'11;'01;
'11001;[G4gat];(0/1)G4gat ;'10;'10;
'11100;[G3gat];(1/0)G3gat ;'01;'00;
'10101;[w2];(0/1)w2 ;'11;'01;
'01001;[G4gat];(0/1)G4gat ;'00;'00;
'00001;[G7gat];(0/1)G7gat ;'00;'01;
'00010;[G6gat];(1/0)G6gat ;'11;'01;
'10111;[G1gat];(1/0)G1gat ;'11;'11;
'10100;[G4gat];(0/1)G4gat ;'01;'11;
'01011;[G1gat];(0/1)G1gat ;'00;'10;
'00100;[w2];(1/0)w2 ;'01;'11;
'01011;[G7gat];(0/1)G7gat ;'00;'01;
'11110;[G7gat];(1/0)G7gat ;'11;'10;
